meta_award_label,meta_award_label_details,event_year,event_month,event_start_date,event_end_date,event_title,Unnamed: 7,event_type,Unnamed: 9,place_city,place_country,artwork_title,artist_lastname,artist_firstname,artwork_id,NomFichier,NomKart,NomDefinitif,artist_id,aw_art_valid
Grand Prix,,2011,septembre,,,25fps,,Experimental Film Festival,,Zagreb,Croatie,Manque de preuves,Kwon,Hayoun,396.0,25fps,,25fps,253,
Grand prix expérimental,,2007,septembre,,,25fps,,Experimental Film Festival,,Zagreb,Croatie,La Proiezione e cominciata,Tcherny,Oleg,160.0,25fps,,25fps,339,
Mention spéciale du jury,,2014,février,,,2Annas,,Film Festival,,Riga,Lettonie,Gli immacolati,Trocker,Ronny,522.0,2Annas,,2Annas,309,
Prix du meilleur court-métrage expérimental,section internationale,2009,décembre,,,Aguilar de Campoo,,Film Festival,,,Espagne,Phone Tapping,Won Lee,Hee,286.0,Aguilar de Campoo,,Aguilar de Campoo,227,
Mention spéciale du jury,,2015,septembre,,,AIFF,,Film Festival,,Athènes,Grèce,"Archipels, granites dénudées",Hérétakis,Daphné,12.0,AIFF,,AIFF,,
2ème prix Jeunes Talents concours,,2010,,,,Air France,,Concours,,,,Les déplacements internes,Couet,Jean-Christophe,334.0,Air France,,Air France,,
Prix Analix Forever,,2011,,,,Analix Forever,galerie,Prix annuel,,Chêne-Bourg,France,858 pages plus au sud,Buchert,Gregory,416.0,Analix Forever,,Analix Forever,265,
Mention spéciale du jury,,2019,,10/04/20,10/12/20,Animatou,,International Animation Festival,,Genève,Suisse,Swatted,Joffroy Chandoutis,Ismaël,842.0,Animatou,,Animatou,671,
Ken Burns Award,,2012,mars,,,Ann Arbor,,Film Festival,,Ann Arbor,Etats-Unis,Manque de preuves,Kwon,Hayoun,396.0,Ann Arbor,Ann Arbor,Ann Arbor,253,
No violence Award,,2011,mars,,,Ann Arbor,,Film Festival,,Ann Arbor,Etats-Unis,Atlantiques,Diop,Mati,282.0,Ann Arbor,Ann Arbor,Ann Arbor,195,
