meta_award_label,meta_award_label_details,event_year,event_month,event_start_date,event_end_date,event_title,,event_type,,place_city,place_country,artwork_title,artist_lastname,artist_firstname,artwork_id
Best Film,My shorts competion,2019,,09/20/20,09/28/20,Queer Lisboa,,,,Lisbonne,Portugal,Constanza,Liebenthal,Melisa,844
Honorary distinction for best sound design,,2019,,09/15/20,09/21/20,Greek Short,,Film Festival,,Drama,Grèce,Sable noir,Trouboukis,Thanasis,861
Mention spéciale du jury,Yellow Robin,2019,,01/10/20,01/14/20,Curaçao ,,International Film Festival,,Rotterdam,Pays-Bas,En Cendres,Rodríguez Triana,Camila,854
Grand Prix meilleur film,,2019,,03/11/20,03/16/20,Punto de Vista,,International Documentary Film Festival,,Pampelune,Espagne,Una Luna de hierro,Rodriguez,Francisco,785
Mention honorable ,,2018,,09/27/20,10/06/20,Filmfest Hamburg,,Film Festival,,Hambourg,Allemagne,Una Luna de hierro,Rodriguez,Francisco,785
Meilleur court-métrage latino-américain,,2018,,06/07/20,06/15/20,Huesca,,Short Film Festival,,Huesca,Espagne ,Una Luna de hierro,Rodriguez,Francisco,785
Best Directing Award,,2019,,11/06/20,11/10/20,BIEFF,,Experimental Film Festival,,Bucarest,Roumanie,Omarska,Sasindran,Varun,855
Mention spéciale du jury,,2019,,02/07/20,02/17/20,Berlinale ,,Film Festival,,Berlin,Allemagne,Omarska,Sasindran,Varun,855
Mention spéciale du jury,,2019,,04/17/20,04/21/20,Kiev,,Short Film Festival,,Kiev,Ukraine,Omarska,Sasindran,Varun,855
Best Film,,2020,,01/16/20,01/19/20,Stuttgarter film winter,,Film Festival,,Stuttgart,Allemagne,Omarska,Sasindran,Varun,855
Prix du jury ,multimédia,2019,,07/10/20,01/19/20,FLIP,,Multimedia festival,,Parthenay,France,Plague,Jibert,Damien,841
Best film,,2020,,01/21/20,01/26/20,Minimalen,,Short Film Festival,,Trondheim,Norvège,Swatted,Joffroy Chandoutis,Ismaël,842
Best short documentary,,2019,,07/19/20,07/28/20,GIFF,,International Film Festival,,Guanajuto,Mexique,Swatted,Joffroy Chandoutis,Ismaël,842
Best documentary,,2019,,09/06/20,09/09/20,Smalls ,,Film Festival,,Londres,Royaume-Unis,Swatted,Joffroy Chandoutis,Ismaël,842
