NomFichier,NomKart,NomDefinitif
Queer Lisboa,,Queer Lisboa
Greek Short,,Greek Short
Curaçao,,Curaçao
Punto de Vista,,Punto de Vista
Filmfest Hamburg,,Filmfest Hamburg
Huesca,Huesca,Huesca
BIEFF,Bieff,Bieff
Berlinale,Berlinale,Berlinale
Kiev,,Kiev
Stuttgarter film winter,Stuttgarter Filmwinter,Stuttgarter Filmwinter
FLIP,,FLIP
Minimalen,,Minimalen
GIFF,Giff,Giff
Smalls,,Smalls
Norwegian,,Norwegian
Chicago Underground,,Chicago Underground
IndieLisboa,,IndieLisboa
Chalon tout court,,Chalon tout court
Regard,Regard,Regard
Rincon,,Rincon
Sundsvall Film Fest,,Sundsvall Film Fest
Vidéoformes,,Vidéoformes
Clermont-Ferrand,,Festival International du court-métrage de Clermont-Ferrand
Scam*,,Scam*
Signes de Nuit,,Signes de Nuit
Eureka University,,Eureka University
Best Of,,Best Of
Animatou,,Animatou
Kaohsiung,,Kaohsiung
Chypre,,Chypre
Sapporo,,Sapporo
Wiesbaden,,Wiesbaden
Front Doc.,,Front Doc.
Blue Danube,,Blue Danube
GZDOC,,GZDOC
Regensburg,,Regensburg
L'Acharnière,,L'Acharnière
LIFF,,LIFF
TIDF,,TIDF
London Short,,London Short
War on screen,,War on screen
Rencontres du cinéma européen,,Rencontres du cinéma européen
Annecy,,Annecy
Ars Electronica,Ars Electronica,Ars Electronica
Poitiers,,Poitiers
Short Waves,Short Waves,Short Waves
Côté Court,,Côté Court
ShortCut,,ShortCut
RISC,,RISC
FIDEC,,FIDEC
Monde en images,,Monde en images
Palm Spring,Palm Springs,Palm Springs
Fondation Schneider,,Fondation Schneider
Rural Film Fest,,Rural Film Fest
GISFF,,GISFF
Bogota Short,Bogota Short Film Fest,Bogota Short Film Festval
Short the point,,Short the point
RIDM,,RIDM
Message to man,,Message to man
DOKer,,DOKer
Du Cinéma sous les étoiles,,Du Cinéma sous les étoiles
IBAFF,,IBAFF
Videonale,,Videonale
Tabor,,Tabor
Toko Film,,Toko Film
EMAF,,EMAF
Dokufest,,Dokufest
Dresden,,Dresden
La Nuit de l'Instant,,La Nuit de l'Instant
Rotterdam,,Rotterdam
Cinemaiubit,,Cinemaiubit
Cervantes Award,,Cervantes Award
Invideo,,Invideo
Festival du court métrage indépendant,,Festival du court métrage indépendant
Biarritz Amérique latine,,Biarritz Amérique latine
PAFF,,PAFF
CyberArts,,CyberArts
Melbourne,,Melbourne
Rencontres internationales sciences et cinéma,Rencontres Internationales Sciences Et CinéMas,Rencontres Internationales Sciences Et Cinémas
Les Enfants terribles,,Les Enfants terribles
Brest,,Brest
Hiroshima,,Hiroshima
AIFF,,AIFF
Festival of nations,,Festival of nations
Olhar de Cinema,,Olhar de Cinema
Fémina,,Fémina
Semaine du cinéma du bureau des Arts de Science Po,,Semaine du cinéma du bureau des Arts de Science Po
Eurydice,,Eurydice
Munich,,Munich
Szczecin European,,Szczecin European
Bruz,,Bruz
Chicago,,Chicago
2Annas,,2Annas
Regards au Longs-Courts,,Regards au Longs-Courts
Kurzundschön,,Kurzundschön
Fresh Film Fest,,Fresh Film Fest
Seoul media,,Seoul media
Palm Springs,Palm Springs,Palm Springs
Recontres cinématographiques,,Recontres cinématographiques
Pointdoc,,Pointdoc
Bradford,,Bradford
Bienal de la imagen en movimiento,,Bienal de la imagen en movimiento
Riviera Maya Underground,,Riviera Maya Underground
Santa Maria da Feira,,Santa Maria da Feira
Ca'Forscari,Ca Foscari,Ca’Foscari
Etiuda,,Etiuda
Videobrasil,,Videobrasil
Analix Forever,,Analix Forever
Couch Fest Film,,Couch Fest Film
Cinéma et droits humains,,Cinéma et droits humains
Toronto Reel Asian,,Toronto Reel Asian
Cutlog,,Cutlog
Festival du court métrage de Lille,,Festival du court métrage de Lille
Curtocircuito,,Curtocircuito
Ann Arbor,Ann Arbor,Ann Arbor
25fps,,25fps
Summer Corto café Festival,,Summer Corto café Festival
Valpolicella,,Valpolicella
Terra du Cinéma,,Terra du Cinéma
Oberhausen,Oberhausen,Oberhausen
BAFICI,,BAFICI
Bibienna,,Bibienna
Ciné-jeune,,Ciné-jeune
Recontres cinéma-nature,,Recontres cinéma-nature
Milan,,Milan
Premiers plans,Premiers Plans,Premiers Plans – Angers Film Festival
Turin,,Turin
Artcourtvidéo,,Artcourtvidéo
Air France,,Air France
Forward thinking museum,,Forward thinking museum
Cine B,,Cine B
Documenta,Documenta,Documenta
SANFIC,,SANFIC
Cinéma du réel,,Cinéma du réel
Prix Médiatine,,Prix Médiatine
Madatac,,Madatac
K3,,K3
Concours Air France,,Concours Air France
